"","created_at","tweet_sentiment","day"
"1","2021-01-01",-0.1,1
"20","2021-01-02",-0.12,2
"39","2021-01-03",0.47,3
"60","2021-01-04",0.41,4
"90","2021-01-05",0.28,5
"130","2021-01-06",0.66,6
"157","2021-01-07",0.08,7
"170","2021-01-08",0.87,8
"198","2021-01-09",1.15,9
"219","2021-01-10",0.24,10
"245","2021-01-11",-0.51,11
"266","2021-01-12",0.82,12
"292","2021-01-13",0.71,13
"313","2021-01-14",1.04,14
"347","2021-01-15",0.21,15
"384","2021-01-16",-0.68,16
"416","2021-01-17",0.23,17
"437","2021-01-18",1.07,18
"457","2021-01-19",0.79,19
"476","2021-01-20",0.87,20
"501","2021-01-21",0.17,21
"530","2021-01-22",0.33,22
"574","2021-01-23",0.89,23
"607","2021-01-24",0.81,24
"641","2021-01-25",0.2,25
"676","2021-01-26",0.46,26
"710","2021-01-27",0.79,27
"730","2021-01-28",0.78,28
"756","2021-01-29",0.05,29
"780","2021-01-30",0.16,30
"806","2021-01-31",-1.26,31
"823","2021-02-01",0.32,32
"846","2021-02-02",0.16,33
"865","2021-02-03",0.3,34
"886","2021-02-04",0.29,35
"902","2021-02-05",0.62,36
"921","2021-02-06",0.48,37
"946","2021-02-07",0.88,38
"959","2021-02-08",0.42,39
"976","2021-02-09",0.56,40
"987","2021-02-10",-0.65,41
"997","2021-02-11",0.35,42
"1009","2021-02-12",-0.22,43
"1027","2021-02-13",0.83,44
"1042","2021-02-14",0.68,45
"1052","2021-02-15",0.24,46
"1069","2021-02-16",0.18,47
"1087","2021-02-17",0.05,48
"1109","2021-02-18",0.52,49
"1126","2021-02-19",1.35,50
"1138","2021-02-20",0.65,51
"1154","2021-02-21",0.5,52
"1167","2021-02-22",0.94,53
"1183","2021-02-23",0.31,54
"1201","2021-02-24",-0.05,55
"1216","2021-02-25",0.88,56
"1226","2021-02-26",0.66,57
"1244","2021-02-27",1.13,58
"1265","2021-02-28",-0.02,59
"1276","2021-03-01",0.82,60
"1295","2021-03-02",0.56,61
"1316","2021-03-03",0.55,62
"1342","2021-03-04",-0.14,63
"1358","2021-03-05",0.82,64
"1370","2021-03-06",1.58,65
"1381","2021-03-07",0.21,66
"1391","2021-03-08",0.81,67
"1408","2021-03-09",1.43,68
"1418","2021-03-10",0.71,69
"1444","2021-03-11",0.21,70
"1465","2021-03-12",0.92,71
"1492","2021-03-13",-0.07,72
"1508","2021-03-14",0.86,73
"1527","2021-03-15",1.14,74
"1538","2021-03-16",0.52,75
"1555","2021-03-17",0.95,76
"1572","2021-03-18",0.65,77
"1594","2021-03-19",0.89,78
"1609","2021-03-20",0.95,79
"1625","2021-03-21",0.46,80
"1633","2021-03-22",1.14,81
"1650","2021-03-23",-0.17,82
"1660","2021-03-24",0.82,83
"1678","2021-03-25",0.7,84
"1694","2021-03-26",0.4,85
"1711","2021-03-27",0.83,86
"1724","2021-03-28",0.58,87
"1738","2021-03-29",0.22,88
"1754","2021-03-30",0.53,89
"1768","2021-03-31",1.18,90
"1801","2021-04-01",0.91,91
"1830","2021-04-02",0.49,92
"1859","2021-04-03",0.65,93
"1876","2021-04-04",0.39,94
"1889","2021-04-05",1.37,95
"1903","2021-04-06",0.61,96
"1926","2021-04-07",0.46,97
"1947","2021-04-08",0.67,98
"1968","2021-04-09",0.67,99
"1986","2021-04-10",0.67,100
"2004","2021-04-11",-0.26,101
"2017","2021-04-12",1.28,102
"2029","2021-04-13",-0.2,103
"2056","2021-04-14",0,104
"2062","2021-04-15",0.16,105
"2087","2021-04-16",0.5,106
"2105","2021-04-17",-0.67,107
"2114","2021-04-18",-0.5,108
"2116","2021-04-19",0.67,109
"2124","2021-04-20",1.4,110
"2136","2021-04-21",1.41,111
"2148","2021-04-22",0.86,112
"2164","2021-04-23",1.04,113
"2182","2021-04-24",0.86,114
"2196","2021-04-25",0.03,115
"2207","2021-04-26",0.59,116
"2226","2021-04-27",1.52,117
"2247","2021-04-28",0.87,118
"2261","2021-04-29",0.73,119
"2272","2021-04-30",0.37,120
"2281","2021-05-01",1.17,121
"2289","2021-05-02",-0.27,122
"2295","2021-05-03",0.68,123
"2305","2021-05-04",0.12,124
"2318","2021-05-05",0.88,125
"2332","2021-05-06",1.03,126
"2342","2021-05-07",-0.02,127
"2352","2021-05-08",0.06,128
"2363","2021-05-09",-0.31,129
"2374","2021-05-10",0.25,130
"2387","2021-05-11",0.81,131
"2396","2021-05-12",0.6,132
"2417","2021-05-13",0.7,133
"2441","2021-05-14",0.83,134
"2466","2021-05-15",1.1,135
"2482","2021-05-16",-0.33,136
"2494","2021-05-17",0.46,137
"2506","2021-05-18",0.82,138
"2516","2021-05-19",0.48,139
"2539","2021-05-20",-0.76,140
"2546","2021-05-21",1.59,141
"2555","2021-05-22",1.13,142
"2560","2021-05-23",0.52,143
"2571","2021-05-24",0.96,144
"2581","2021-05-25",0.8,145
"2592","2021-05-26",0.7,146
"2601","2021-05-27",1.07,147
"2610","2021-05-28",1.17,148
"2614","2021-05-29",2,149
"2616","2021-05-30",-0.86,150
"2623","2021-05-31",1.38,151
"2627","2021-06-01",-0.64,152
"2634","2021-06-02",0.64,153
"2641","2021-06-03",0.58,154
"2649","2021-06-04",1.52,155
"2655","2021-06-05",0.58,156
"2661","2021-06-06",1.42,157
"2665","2021-06-07",0.44,158
"2676","2021-06-08",-0.97,159
"2681","2021-06-09",0.59,160
"2690","2021-06-10",-0.02,161
"2711","2021-06-11",0.3,162
"2718","2021-06-12",-0.21,163
"2725","2021-06-13",-1.11,164
"2731","2021-06-14",-0.5,165
"2748","2021-06-15",0.28,166
"2754","2021-06-16",0.18,167
"2761","2021-06-17",-0.69,168
"2771","2021-06-18",0.77,169
"2776","2021-06-19",-0.12,170
"2783","2021-06-20",0.72,171
"2789","2021-06-21",0.66,172
"2797","2021-06-22",0.02,173
"2806","2021-06-23",-0.31,174
"2815","2021-06-24",-0.52,175
"2824","2021-06-25",-0.14,176
"2831","2021-06-26",0.82,177
"2853","2021-06-27",-0.17,178
"2857","2021-06-28",0.83,179
"2863","2021-06-29",0.81,180
"2878","2021-06-30",0.33,181
"2887","2021-07-01",0.21,182
"2893","2021-07-02",-0.02,183
"2900","2021-07-03",-0.33,184
"2903","2021-07-04",-0.51,185
"2910","2021-07-05",-1.01,186
"2918","2021-07-06",0.81,187
"2926","2021-07-07",0.39,188
"2931","2021-07-08",1.32,189
"2942","2021-07-09",-1.12,190
"2957","2021-07-10",-0.1,191
"2972","2021-07-11",-0.28,192
"2981","2021-07-12",-0.75,193
"2996","2021-07-13",-0.63,194
"3010","2021-07-14",-0.32,195
"3032","2021-07-15",-0.45,196
"3046","2021-07-16",0.59,197
"3061","2021-07-17",0.22,198
"3083","2021-07-18",0.47,199
"3098","2021-07-19",0.24,200
"3119","2021-07-20",0,201
"3139","2021-07-21",-0.14,202
"3156","2021-07-22",0.03,203
"3180","2021-07-23",0.02,204
"3217","2021-07-24",0.36,205
"3234","2021-07-25",0.05,206
"3244","2021-07-26",0.71,207
"3261","2021-07-27",0.17,208
"3293","2021-07-28",-0.03,209
"3315","2021-07-29",-0.4,210
"3334","2021-07-30",0.06,211
"3368","2021-07-31",-0.43,212
"3398","2021-08-01",-1.67,213
"3400","2021-08-02",-0.28,214
"3425","2021-08-03",0.47,215
"3448","2021-08-04",0.23,216
"3463","2021-08-05",-0.42,217
"3492","2021-08-06",-0.16,218
"3511","2021-08-07",-0.9,219
"3530","2021-08-08",0.33,220
"3544","2021-08-09",-0.1,221
"3571","2021-08-10",0.07,222
"3597","2021-08-11",-0.08,223
"3617","2021-08-12",0.62,224
"3646","2021-08-13",0.57,225
"3672","2021-08-14",0.75,226
"3685","2021-08-15",0.36,227
"3702","2021-08-16",0.5,228
"3708","2021-08-17",0.25,229
"3730","2021-08-18",0.34,230
"3750","2021-08-19",1.18,231
"3761","2021-08-20",-0.06,232
"3773","2021-08-21",-0.19,233
"3782","2021-08-22",-0.37,234
"3802","2021-08-23",1.08,235
"3843","2021-08-24",0.27,236
"3872","2021-08-25",-0.14,237
"3893","2021-08-26",-0.24,238
"3906","2021-08-27",-0.35,239
"3917","2021-08-28",-0.19,240
"3934","2021-08-29",-0.9,241
"3949","2021-08-30",-0.4,242
"3964","2021-08-31",-1.93,243
"3971","2021-09-01",-3,244
